ticker,zscore,abs_zscore
DHR,-1.01,1.01
LDOS,-1.0,1.0
KIM,-1.0,1.0
NDAQ,-1.0,1.0
KO,-1.0,1.0
DAY,-1.0,1.0
HBAN,-1.0,1.0
APTV,-0.99,0.99
GILD,-0.98,0.98
RF,-0.98,0.98
URI,-0.97,0.97
TXT,-0.97,0.97
META,-0.97,0.97
ESS,-0.96,0.96
PFG,-0.96,0.96
HCA,-0.96,0.96
UHS,-0.96,0.96
WTW,-0.95,0.95
SYY,-0.95,0.95
UDR,-0.95,0.95
JNJ,-0.94,0.94
DG,-0.94,0.94
PPG,-0.93,0.93
C,-0.93,0.93
GNRC,-0.93,0.93
CARR,-0.93,0.93
EG,-0.93,0.93
BAC,-0.92,0.92
LHX,-0.92,0.92
BG,-0.91,0.91
INCY,-0.91,0.91
O,-0.9,0.9
NCLH,-0.9,0.9
IP,-0.89,0.89
EQIX,-0.88,0.88
INVH,-0.88,0.88
LVS,-0.88,0.88
LKQ,-0.88,0.88
FDS,-0.88,0.88
CCL,-0.87,0.87
CTVA,-0.87,0.87
NOW,-0.87,0.87
FICO,-0.87,0.87
MTB,-0.86,0.86
NVR,-0.85,0.85
MMC,-0.84,0.84
KLAC,-0.84,0.84
DOW,-0.83,0.83
CE,-0.83,0.83
CHD,-0.83,0.83
ROL,-0.83,0.83
RSG,-0.82,0.82
WYNN,-0.82,0.82
VRSN,-0.82,0.82
REGN,-0.81,0.81
MAA,-0.8,0.8
ORLY,-0.8,0.8
MSCI,-0.8,0.8
NEM,0.8,0.8
IFF,-0.8,0.8
CLX,-0.8,0.8
IVZ,-0.8,0.8
SPG,-0.79,0.79
CFG,-0.79,0.79
MGM,-0.79,0.79
ANET,-0.79,0.79
CNC,-0.78,0.78
JCI,-0.78,0.78
SYF,-0.78,0.78
TMUS,-0.77,0.77
NTAP,-0.77,0.77
SO,-0.76,0.76
TRMB,-0.75,0.75
BDX,-0.75,0.75
EOG,-0.74,0.74
PAYC,-0.74,0.74
CRM,-0.74,0.74
PYPL,-0.73,0.73
CPRT,-0.73,0.73
AFL,-0.73,0.73
VICI,-0.73,0.73
AMT,-0.71,0.71
AMZN,-0.71,0.71
WFC,-0.71,0.71
VRTX,0.71,0.71
DVA,-0.7,0.7
REG,-0.7,0.7
CMG,-0.7,0.7
LRCX,-0.7,0.7
